phylum,class,order,family,genus,range_min,range_max,extinct,t_occurrences,e_occurrences,species,geoplates,tiering,motility,feeding,protein,reproduction,mineralogy,physiology
Annelida,Polychaeta,Sabellida,Sabellidae,Glomerula,70.6,100.5,1,12,1,1,1,epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,high Mg calcite,moderate carbonate load
Annelida,Polychaeta,Sabellida,Serpulidae,Diploconcha,66,83.6,1,17,10,1,2,epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,high Mg calcite,moderate carbonate load
Annelida,Polychaeta,Sabellida,Serpulidae,Filograna,70.6,83.5,1,1,1,1,1,epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,high Mg calcite,moderate carbonate load
Annelida,Polychaeta,Sabellida,Serpulidae,Pyrgopolon,61.6,93.5,0,6,4,3,3,epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,high Mg calcite,moderate carbonate load
Annelida,Polychaeta,Sabellida,Serpulidae,Rotularia,41.3,100.5,0,40,17,5,2,epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,high Mg calcite,moderate carbonate load
Annelida,Polychaeta,Sabellida,Serpulidae,Serpula,47.8,100.5,0,42,11,6,5,epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,high Mg calcite,moderate carbonate load
Annelida,Polychaeta,Serpulimorpha,NO_FAMILY_SPECIFIED,Filogranula,70.6,83.5,1,6,6,1,2,epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,high Mg calcite,moderate carbonate load
Annelida,Polychaeta,Serpulimorpha,NO_FAMILY_SPECIFIED,Hamulus,61.6,83.6,0,258,236,7,2,epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,high Mg calcite,moderate carbonate load
Annelida,Polychaeta,Serpulimorpha,NO_FAMILY_SPECIFIED,Longitubus,66,83.5,1,4,4,1,1,epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,high Mg calcite,moderate carbonate load
Arthropoda,Hexanauplia,NO_ORDER_SPECIFIED,Brachylepadidae,Brachylepas,66,83.5,1,64,64,5,5,epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load
Arthropoda,Hexanauplia,NO_ORDER_SPECIFIED,Brachylepadidae,Pycnolepas,56,99.6,0,5,2,2,2,epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load
Arthropoda,Hexanauplia,NO_ORDER_SPECIFIED,Calanticidae,Scillaelepas,53,86.3,0,12,3,1,1,epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load
Arthropoda,Hexanauplia,NO_ORDER_SPECIFIED,Scalpellidae,Arcoscalpellum,47.8,85.8,0,50,48,6,5,epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load
Arthropoda,Hexanauplia,NO_ORDER_SPECIFIED,Scalpellidae,Catherinum,70.6,83.5,1,2,2,1,1,epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load
Arthropoda,Hexanauplia,NO_ORDER_SPECIFIED,Scalpellidae,Diotascalpellum,66,93.5,1,20,15,3,3,epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load
Arthropoda,Hexanauplia,NO_ORDER_SPECIFIED,Scalpellidae,Regioscalpellum,66,93.5,1,13,12,1,4,epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load
Arthropoda,Hexanauplia,NO_ORDER_SPECIFIED,Scalpellidae,Scalpellum,56,99.6,0,9,1,1,1,epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load
Arthropoda,Hexanauplia,NO_ORDER_SPECIFIED,Scalpellidae,Virgiscalpellum,66,83.6,1,27,26,5,5,epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load
Arthropoda,Hexanauplia,NO_ORDER_SPECIFIED,Stramentidae,Loriculina,70.6,89.3,1,4,1,1,1,epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load
Arthropoda,Hexanauplia,NO_ORDER_SPECIFIED,Stramentidae,Metaloriculina,70.6,89.3,1,3,2,1,1,epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load
Arthropoda,Hexanauplia,NO_ORDER_SPECIFIED,Stramentidae,Parastramentum,70.6,93.5,1,6,5,3,2,epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load
Arthropoda,Hexanauplia,NO_ORDER_SPECIFIED,Stramentidae,Stramentum,70.6,99.6,1,39,2,2,2,epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load
Arthropoda,Hexanauplia,Scalpelliformes,Cretiscalpellidae,Cretiscalpellum,66,93.5,1,56,47,10,5,epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load
