phylum,class,order,family,genus,range_min,range_max,extinct,t_occurrences,e_occurrences,species,geoplates,tiering,motility,feeding,protein,reproduction,mineralogy,physiology
Annelida,Polychaeta,Sabellida,Serpulidae,Serpula,170.3,259.9,0,30,0,0,0,epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,high Mg calcite,moderate carbonate load
Annelida,Polychaeta,Sabellida,Serpulidae,Spirorbis,242,259.9,0,4,0,0,0,epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,high Mg calcite,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Erymidae,Eryma,182,254.17,0,11,1,1,1,semi-infaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,little or no carbonate load
Arthropoda,Malacostraca,Isopoda,Amphisopidae,Protamphisopus,242,259.9,0,2,0,0,0,epifaunal,"fast, motile",surface deposit,hemocyanin,non-broadcaster,chitin,little or no carbonate load
Arthropoda,Ostracoda,Halocyprida,Thaumatocyprididae,Thaumatomma,242,259.9,0,13,1,1,1,pelagic,"slow, motile",suspension,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Metacopida,NO_FAMILY_SPECIFIED,Birdsallella,252.17,254.17,1,4,4,1,1,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Myodocopida,Cylindroleberididae,Triadocypris,247.2,259.9,0,2,0,0,0,pelagic,"slow, motile",predator,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Myodocopida,Cypridinidae,Cypridina,201.3,265.1,0,4,0,0,0,pelagic,"slow, motile",predator,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Myodocopida,Polycopidae,Discoidella,242,259.9,0,16,9,2,1,shallow infaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Myodocopida,Polycopidae,Polycope,174.1,259.9,0,164,7,3,1,shallow infaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Cetollina,252.17,254.17,1,1,1,1,1,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Eumiraculum,251.3,254.17,0,5,4,2,2,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Palaeocopida,Amphissitidae,Amphissites,252.17,265.1,1,11,7,2,2,epifaunal,"slow, motile",suspension,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Palaeocopida,Amphissitidae,Kegelites,252.17,254.17,1,5,5,1,1,epifaunal,"slow, motile",suspension,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Palaeocopida,Amphissitidae,Neoamphissites,252.17,259.9,1,7,5,1,1,epifaunal,"slow, motile",suspension,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Palaeocopida,Amphissitidae,Parahollinella,252.17,259.9,1,21,9,3,3,epifaunal,"slow, motile",suspension,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Palaeocopida,Amphissitidae,Permokegelites,252.17,259.9,1,4,3,1,1,epifaunal,"slow, motile",suspension,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Palaeocopida,Aparchitidae,Cyathus,252.17,265.1,1,98,82,3,2,epifaunal,"slow, motile",suspension,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Palaeocopida,Aparchitidae,Libumella,252.17,254.17,1,2,2,1,1,epifaunal,"slow, motile",suspension,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Palaeocopida,Beyrichiidae,Neoulrichia,252.17,254.17,1,3,3,2,2,epifaunal,"slow, motile",suspension,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Palaeocopida,Kellettinidae,Kellettina,252.17,259.9,1,2,1,1,1,epifaunal,"slow, motile",suspension,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Palaeocopida,Kellettinidae,Semipetasus,252.17,254.17,1,3,3,1,1,epifaunal,"slow, motile",suspension,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Palaeocopida,Kirkbyidae,Aurikirkbya,252.17,265.1,1,16,10,2,1,epifaunal,"slow, motile",suspension,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Palaeocopida,Kirkbyidae,Carinaknightina,251.3,259.9,0,19,3,2,1,epifaunal,"slow, motile",suspension,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Palaeocopida,Kirkbyidae,Kirkbya,252.17,265.1,1,22,2,1,1,epifaunal,"slow, motile",suspension,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Palaeocopida,Kirkbyidae,Knightina,252.17,259.9,1,24,21,3,2,epifaunal,"slow, motile",suspension,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Palaeocopida,Kirkbyidae,Reviya,251.2,265.1,0,34,7,1,1,epifaunal,"slow, motile",suspension,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Palaeocopida,Kirkbyidae,Scutikirkbya,252.17,254.17,1,4,4,1,2,epifaunal,"slow, motile",suspension,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Palaeocopida,Kirkbyidae,Shleesha,252.17,254.17,1,7,7,2,1,epifaunal,"slow, motile",suspension,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
