phylum,class,order,family,genus,range_min,range_max,extinct,t_occurrences,e_occurrences,species,geoplates,tiering,motility,feeding,protein,reproduction,mineralogy,physiology
Annelida,Polychaeta,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Microtubus,201.3,242,1,30,15,1,3,epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,High Mg calcite,moderate carbonate load
Annelida,Polychaeta,Sabellida,Serpulidae,Serpula,170.3,259.9,0,30,2,2,1,epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,High Mg calcite,moderate carbonate load
Annelida,Polychaeta,Terebellomorpha,NO_FAMILY_SPECIFIED,Terebella,189.6,242,0,5,0,0,0,shallow infaunal,"facultative, unattached",surface deposit,hemocyanin,broadcaster,soft-bodied,little or no carbonate load
Arthropoda,Malacostraca,Decapoda,Aegeridae,Aeger,174.1,247.2,0,10,0,0,0,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Coleiidae,Coleia,183,235,0,5,1,1,1,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Coleiidae,Pseudocoleia,201.3,237,1,3,2,1,1,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Erymidae,Eryma,182,254.17,0,11,0,0,0,semi-infaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Eryonidae,Rosenfeldia,201.3,237,1,3,1,1,1,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Glypheidae,Glyphea,174.1,237,0,8,0,0,0,semi-infaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Litogastroidae,Pseudoglyphea,174.1,247.2,0,21,1,1,1,semi-infaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,NO_FAMILY_SPECIFIED,Acanthinopus,201.3,237,1,1,1,1,1,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,NO_FAMILY_SPECIFIED,Dusa,201.3,237,1,7,2,1,1,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,NO_FAMILY_SPECIFIED,Longichela,201.3,228,1,1,1,1,1,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,NO_FAMILY_SPECIFIED,Pinnacaris,201.3,228,1,1,1,1,1,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,NO_FAMILY_SPECIFIED,Satyrocaris,201.3,228,1,1,1,1,1,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Palinuridae,Archaeopalinurus,174.1,237,0,6,2,1,1,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
