tiering,motility,feeding,protein,reproduction,mineralogy,physiology,geoplates,species,PTr_size,PTr_extProb,TrJ_size,TrJ_extProb,KPg_size,KPg_extProb,total_size
epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,1.0,1.0,89.0,0.9775280898876404,37.0,0.8378378378378378,18.0,0.7222222222222222,144.0
pelagic,"fast, motile",predator,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,1.0,1.0,13.0,0.7692307692307693,22.0,0.9090909090909091,17.0,0.8235294117647058,52.0
epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,1.0,2.0,21.0,1.0,14.0,0.8571428571428571,5.0,0.8,40.0
shallow infaunal,"facultative, unattached",suspension,hemocyanin,broadcaster,aragonite,moderate carbonate load,1.0,1.0,3.0,0.6666666666666666,6.0,0.8333333333333334,28.0,0.5714285714285714,37.0
erect,"stationary, attached",symbionts,hemocyanin,broadcaster,aragonite,heavy carbonate load,1.0,1.0,0.0,,9.5,0.7368421052631579,24.5,0.5102040816326531,34.0
epifaunal,"slow, motile",grazer,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,1.0,1.0,0.0,,8.5,0.7647058823529411,25.0,0.36,33.5
epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load,1.0,1.0,16.0,0.5625,6.0,0.6666666666666666,11.0,0.45454545454545453,33.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,1.0,1.0,6.0,0.5,20.0,0.5,6.0,0.3333333333333333,32.0
epifaunal,"slow, motile",predator,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,1.0,1.0,0.0,,1.5,0.3333333333333333,29.0,0.27586206896551724,30.5
epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,2.0,1.0,19.0,0.8947368421052632,7.0,0.5714285714285714,4.0,0.75,30.0
pelagic,"fast, motile",predator,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,1.0,2.0,8.0,0.875,5.0,0.8,15.0,1.0,28.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,silica,little or no carbonate load,1.0,1.0,0.0,,0.0,,25.0,0.8,25.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,aragonite,heavy carbonate load,1.0,1.0,11.0,0.8181818181818182,14.0,1.0,0.0,,25.0
