"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Praelumbrinereis","Praelumbrinereis","Annelida","Polychaeta","Eunicemorpha","NO_FAMILY_SPECIFIED",242,247.2,1,"epifaunal","slow, motile","predator","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",1,1,1,1
"Eunicites","Eunicites","Annelida","Polychaeta","NO_ORDER_SPECIFIED","Leodicidae",242,247.2,1,"epifaunal","slow, motile","predator","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",1,1,1,1
"Homaphrodite","Homaphrodite","Annelida","Polychaeta","Phyllodocida","Aphroditidae",242,247.2,1,"epifaunal","slow, motile","surface deposit","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",1,1,1,1
"Filograna","Filograna","Annelida","Polychaeta","Sabellida","Serpulidae",215.56,247.2,2,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,1,1,1
"Ruxingella","Ruxingella","Annelida","Polychaeta","Sabellida","Serpulidae",242,247.2,18,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",1,18,1,1
"Serpula","Serpula","Annelida","Polychaeta","Sabellida","Serpulidae",170.3,259.9,30,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,0,0,0
"Serpulaserpentina","Serpulaserpentina","Annelida","Polychaeta","Sabellida","Serpulidae",242,247.2,1,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",1,1,1,1
"Spirorbis","Spirorbis","Annelida","Polychaeta","Sabellida","Serpulidae",242,259.9,4,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",1,1,1,1
"Weixiserpula","Weixiserpula","Annelida","Polychaeta","Sabellida","Serpulidae",242,247.2,22,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",1,22,1,1
"Aeger","Aeger","Arthropoda","Malacostraca","Decapoda","Aegeridae",174.1,247.2,10,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Anisaeger","Anisaeger","Arthropoda","Malacostraca","Decapoda","Aegeridae",242,247.2,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,2,2,1
"Distaeger","Distaeger","Arthropoda","Malacostraca","Decapoda","Aegeridae",242,247.2,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Clytiopsis","Clytiopsis","Arthropoda","Malacostraca","Decapoda","Clytiopsidae",242,247.2,8,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,8,1,2
