"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Fujianocaris","Fujianocaris","Arthropoda","Malacostraca","Mysida","Tylocarididae",254.17,265.1,3,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,2,1,1
"Tylocaris","Tylocaris","Arthropoda","Malacostraca","Mysida","Tylocarididae",259.9,265.1,1,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Cypridina","Cypridina","Arthropoda","Ostracoda","Myodocopida","Cypridinidae",201.3,265.1,4,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Paleodarwinula","Paleodarwinula","Arthropoda","Ostracoda","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",251.2,265.1,2,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Prasuchonella","Prasuchonella","Arthropoda","Ostracoda","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",259.9,265.1,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Suchonellina","Suchonellina","Arthropoda","Ostracoda","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",252.3,265.1,3,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,2,1
"Volganella","Volganella","Arthropoda","Ostracoda","NO_ORDER_SPECIFIED","Volganellidae",259.9,265.1,2,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,2,1
"Amphissites","Amphissites","Arthropoda","Ostracoda","Palaeocopida","Amphissitidae",252.17,265.1,11,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Ectodemites","Ectodemites","Arthropoda","Ostracoda","Palaeocopida","Amphissitidae",259.9,265.1,1,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Polytylites","Polytylites","Arthropoda","Ostracoda","Palaeocopida","Amphissitidae",259.9,265.1,1,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Cyathus","Cyathus","Arthropoda","Ostracoda","Palaeocopida","Aparchitidae",252.17,265.1,98,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,7,3,3
"Aurikirkbya","Aurikirkbya","Arthropoda","Ostracoda","Palaeocopida","Kirkbyidae",252.17,265.1,16,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,3,3,1
"Boreokirkbya","Boreokirkbya","Arthropoda","Ostracoda","Palaeocopida","Kirkbyidae",259.9,265.1,2,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,1,1
"Kirkbya","Kirkbya","Arthropoda","Ostracoda","Palaeocopida","Kirkbyidae",252.17,265.1,22,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,6,6,1
"Reviya","Reviya","Arthropoda","Ostracoda","Palaeocopida","Kirkbyidae",251.2,265.1,34,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,3,1,1
"Roundyella","Roundyella","Arthropoda","Ostracoda","Palaeocopida","Scrobiculidae",252.17,265.1,31,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Cavellina","Cavellina","Arthropoda","Ostracoda","Platycopida","Cavellinidae",251.3,265.1,83,"semi-infaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,5,3,4
"Sulcella","Sulcella","Arthropoda","Ostracoda","Platycopida","Cavellinidae",252.17,265.1,9,"semi-infaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,1,2
"Hollinella","Hollinella","Arthropoda","Ostracoda","Platycopida","Hollinellidae",251.3,265.1,77,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,5,3,3
"Gifuaparchites","Gifuaparchites","Arthropoda","Ostracoda","Platycopida","Ikeyaparchitidae",259.9,265.1,1,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Kloedcytherella","Kloedcytherella","Arthropoda","Ostracoda","Platycopida","Knoxitidae",254.17,265.1,3,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Knoxiella","Knoxiella","Arthropoda","Ostracoda","Platycopida","Knoxitidae",251.3,265.1,36,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Chamishaella","Chamishaella","Arthropoda","Ostracoda","Platycopida","Paraparchitidae",252.17,265.1,4,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Langdaia","Langdaia","Arthropoda","Ostracoda","Platycopida","Paraparchitidae",251.2,265.1,25,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,1,1
"Paraparchites","Paraparchites","Arthropoda","Ostracoda","Platycopida","Paraparchitidae",252.17,265.1,44,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,2,2
"Samarella","Samarella","Arthropoda","Ostracoda","Platycopida","Paraparchitidae",251.3,265.1,117,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,5,1,1
"Acratia","Acratia","Arthropoda","Ostracoda","Podocopida","Acratiidae",232,265.1,153,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,9,1,1
"Arcibairdia","Arcibairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",252.17,265.1,2,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Bairdia","Bairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",174.1,265.1,1000,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,28,16,5
"Bairdiacypris","Bairdiacypris","Arthropoda","Ostracoda","Podocopida","Bairdiidae",174.1,265.1,277,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,2,2
"Ceratobairdia","Ceratobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",196.5,265.1,19,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Fabalicypris","Fabalicypris","Arthropoda","Ostracoda","Podocopida","Bairdiidae",189.6,265.1,148,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,1,1
"Lanczichebairdia","Lanczichebairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",259.9,265.1,2,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,1,1
"Orthobairdia","Orthobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",251.3,265.1,53,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,2,1
"Petasobairdia","Petasobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",232,265.1,97,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,3,3,2
"Vanganardia","Vanganardia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",259.9,265.1,3,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,3,2,1
"Callicythere","Callicythere","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",242,265.1,58,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,1,1
"Basslerella","Basslerella","Arthropoda","Ostracoda","Podocopida","Cytherideidae",242,265.1,171,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,3,1,1
"Arqoviella","Arqoviella","Arthropoda","Ostracoda","Podocopida","Cytherissinellidae",252.17,265.1,18,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,6,1,1
"Macrocypris","Macrocypris","Arthropoda","Ostracoda","Podocopida","Macrocyprididae",252.17,265.1,12,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,1,1
"Liuzhinia","Liuzhinia","Arthropoda","Ostracoda","Podocopida","NO_FAMILY_SPECIFIED",242,265.1,87,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Microcheilinella","Microcheilinella","Arthropoda","Ostracoda","Podocopida","Sigilliidae",242,265.1,262,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,7,3,3
"Cheiropyge","Cheiropyge","Arthropoda","Trilobita","Aulacopleurida","Brachymetopidae",254.17,265.1,2,"epifaunal","fast, motile","surface deposit","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Acanthophillipsia","Acanthophillipsia","Arthropoda","Trilobita","Proetida","Proetidae",254.17,265.1,4,"epifaunal","fast, motile","surface deposit","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Acropyge","Acropyge","Arthropoda","Trilobita","Proetida","Proetidae",252.17,265.1,4,"epifaunal","fast, motile","surface deposit","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Anisopyge","Anisopyge","Arthropoda","Trilobita","Proetida","Proetidae",259.9,265.1,11,"epifaunal","fast, motile","surface deposit","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,11,1,1
"Endops","Endops","Arthropoda","Trilobita","Proetida","Proetidae",259.9,265.1,1,"epifaunal","fast, motile","surface deposit","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Neoproetus","Neoproetus","Arthropoda","Trilobita","Proetida","Proetidae",254.17,272.3,3,"epifaunal","fast, motile","surface deposit","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Nipponaspis","Nipponaspis","Arthropoda","Trilobita","Proetida","Proetidae",259.9,265.1,1,"epifaunal","fast, motile","surface deposit","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Paraphillipsia","Paraphillipsia","Arthropoda","Trilobita","Proetida","Proetidae",254.17,265.1,2,"epifaunal","fast, motile","surface deposit","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Pseudophillipsia","Pseudophillipsia","Arthropoda","Trilobita","Proetida","Proetidae",252.17,272.3,47,"epifaunal","fast, motile","surface deposit","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,10,5,4
"Triproetus","Triproetus","Arthropoda","Trilobita","Proetida","Proetidae",259.9,265.1,1,"epifaunal","fast, motile","surface deposit","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Acanthocrania","Acanthocrania","Brachiopoda","Craniata","Craniida","Craniidae",259.9,265.1,2,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,2,2,1
"Orbiculoidea","Orbiculoidea","Brachiopoda","Lingulata","Lingulida","Disciniidae",228,265.1,80,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","phosphatic","little or no carbonate load",0,3,3,3
"Lingula","Lingula","Brachiopoda","Lingulata","Lingulida","Lingulidae",259.9,265.1,1,"shallow infaunal","facultative, unattached","suspension","hemerythrin","broadcaster","phosphatic","little or no carbonate load",1,1,1,1
"Araxathyris","Araxathyris","Brachiopoda","Rhynchonellata","Athyridida","Athyrididae",251.3,268.8,193,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,3,3,2
"Bajtugania","Bajtugania","Brachiopoda","Rhynchonellata","Athyridida","Athyrididae",259.9,265.1,1,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,1,1,1
"Cleiothyridina","Cleiothyridina","Brachiopoda","Rhynchonellata","Athyridida","Athyrididae",252.17,268.8,646,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,56,16,6
"Composita","Composita","Brachiopoda","Rhynchonellata","Athyridida","Athyrididae",252.17,265.1,178,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,83,10,3
"Cryptospirifer","Cryptospirifer","Brachiopoda","Rhynchonellata","Athyridida","Athyrididae",259.9,265.1,1,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,1,1,1
"Juxathyris","Juxathyris","Brachiopoda","Rhynchonellata","Athyridida","Athyrididae",252.17,265.1,104,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,11,5,1
"Septospirigerella","Septospirigerella","Brachiopoda","Rhynchonellata","Athyridida","Athyrididae",252.17,265.1,44,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,41,4,1
