"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Alpinotubus","Alpinotubus","Annelida","Polychaeta","Sabellida","Serpulidae",228,237,1,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",1,1,1,1
"Barbafera","Barbafera","Annelida","Polychaeta","Sabellida","Serpulidae",221.5,242,13,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,11,1,4
"Filograna","Filograna","Annelida","Polychaeta","Sabellida","Serpulidae",215.56,247.2,2,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,0,0,0
"Serpula","Serpula","Annelida","Polychaeta","Sabellida","Serpulidae",170.3,259.9,30,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,6,6,2
"Terebella","Terebella","Annelida","Polychaeta","Terebellomorpha","NO_FAMILY_SPECIFIED",189.6,242,5,"shallow infaunal","facultative, unattached","surface deposit","hemocyanin","broadcaster","soft-bodied","little or no carbonate load",0,4,1,1
"Aeger","Aeger","Arthropoda","Malacostraca","Decapoda","Aegeridae",174.1,247.2,10,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Paraclytiopsis","Paraclytiopsis","Arthropoda","Malacostraca","Decapoda","Clytiopsidae",221.5,232,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Coleia","Coleia","Arthropoda","Malacostraca","Decapoda","Coleiidae",174.1,235,6,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Pseudocoleia","Pseudocoleia","Arthropoda","Malacostraca","Decapoda","Coleiidae",201.3,237,3,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Eryma","Eryma","Arthropoda","Malacostraca","Decapoda","Erymidae",180,254.17,11,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","little or no carbonate load",0,0,0,0
"Rosenfeldia","Rosenfeldia","Arthropoda","Malacostraca","Decapoda","Eryonidae",201.3,237,3,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Glyphea","Glyphea","Arthropoda","Malacostraca","Decapoda","Glypheidae",174.1,237,8,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,2,2,1
"Pseudoglyphea","Pseudoglyphea","Arthropoda","Malacostraca","Decapoda","Litogastroidae",174.1,247.2,21,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,16,16,1
"Acanthinopus","Acanthinopus","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",201.3,237,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Dusa","Dusa","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",201.3,237,7,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Archaeopalinurus","Archaeopalinurus","Arthropoda","Malacostraca","Decapoda","Palinuridae",174.1,237,6,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Antrimpos","Antrimpos","Arthropoda","Malacostraca","Decapoda","Penaeidae",190.8,247.2,17,"epifaunal","fast, motile","surface deposit","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Bombur","Bombur","Arthropoda","Malacostraca","Decapoda","Penaeidae",232,235,1,"epifaunal","fast, motile","surface deposit","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Tetrachela","Tetrachela","Arthropoda","Malacostraca","Decapoda","Tetrachelidae",232,235,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Schimperella","Schimperella","Arthropoda","Malacostraca","Lophogastrida","Eucopiidae",235,247.2,5,"pelagic","fast, motile","suspension","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Aviamysis","Aviamysis","Arthropoda","Malacostraca","Mysida","Mysidae",235,242,1,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Cypridina","Cypridina","Arthropoda","Ostracoda","Myodocopida","Cypridinidae",201.3,265.1,4,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Polycope","Polycope","Arthropoda","Ostracoda","Myodocopida","Polycopidae",174.1,259.9,164,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,5,4,1
"Bektasia","Bektasia","Arthropoda","Ostracoda","Platycopida","Cavellinidae",221.5,251.3,8,"semi-infaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Cavussurella","Cavussurella","Arthropoda","Ostracoda","Platycopida","Cavellinidae",205.6,247.2,7,"semi-infaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Cytherella","Cytherella","Arthropoda","Ostracoda","Platycopida","Cytherellidae",174.1,235,81,"semi-infaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Acratia","Acratia","Arthropoda","Ostracoda","Podocopida","Acratiidae",232,265.1,153,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,3,3,1
"Anisobairdia","Anisobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",182.7,247.2,11,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Bairdia","Bairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",174.1,265.1,1000,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,7,6,2
"Bairdiacypris","Bairdiacypris","Arthropoda","Ostracoda","Podocopida","Bairdiidae",174.1,265.1,277,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,3,3,1
"Bairdiolites","Bairdiolites","Arthropoda","Ostracoda","Podocopida","Bairdiidae",201.3,254.17,13,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Ceratobairdia","Ceratobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",196.5,265.1,19,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Dicerobairdia","Dicerobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",201.3,235,5,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Fabalicypris","Fabalicypris","Arthropoda","Ostracoda","Podocopida","Bairdiidae",189.6,265.1,148,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Hiatobairdia","Hiatobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",201.3,232,5,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Isobythocypris","Isobythocypris","Arthropoda","Ostracoda","Podocopida","Bairdiidae",180,235,63,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Lobobairdia","Lobobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",182.7,254.17,67,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Mirabairdia","Mirabairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",221.5,254.17,27,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,3,2,1
"Nodobairdia","Nodobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",201.3,237,6,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,4,1,1
"Ogmoconcha","Ogmoconcha","Arthropoda","Ostracoda","Podocopida","Healdiidae",174.1,242,98,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,2,1
"Paraglyptobairdia","Paraglyptobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",232,259.9,3,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Petasobairdia","Petasobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",232,265.1,97,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,3,2,1
"Ptychobairdia","Ptychobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",180,252.17,50,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,3,2,2
"Pustulobairdia","Pustulobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",196.5,254.17,10,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Urobairdia","Urobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",201.3,251.3,31,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Acanthoscapha","Acanthoscapha","Arthropoda","Ostracoda","Podocopida","Beecherellidae",232,259.9,15,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Gencella","Gencella","Arthropoda","Ostracoda","Podocopida","Beecherellidae",232,235,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Kerocythere","Kerocythere","Arthropoda","Ostracoda","Podocopida","Cytheruridae",201.3,247.2,18,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,5,4,2
"Bythocypris","Bythocypris","Arthropoda","Ostracoda","Podocopida","Bythocyprididae",175.6,254.17,12,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Covracythere","Covracythere","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",205.6,252.17,4,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Monoceratina","Monoceratina","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",174.1,259.9,77,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Patellacythere","Patellacythere","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",182.7,251.3,21,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,1,1
"Striatojonesia","Striatojonesia","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",181,235,4,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Triassocythere","Triassocythere","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",232,254.17,13,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Triceratina","Triceratina","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",201.3,247.2,6,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Paracypris","Paracypris","Arthropoda","Ostracoda","Podocopida","Candonidae",180,254.17,61,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,2,1
"Gemmanella","Gemmanella","Arthropoda","Ostracoda","Podocopida","Cytheridae",235,242,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Glorianella","Glorianella","Arthropoda","Ostracoda","Podocopida","Cytheridae",235,242,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Speluncella","Speluncella","Arthropoda","Ostracoda","Podocopida","Cytheridae",235,242,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Eucytherura","Eucytherura","Arthropoda","Ostracoda","Podocopida","Cytheruridae",174.1,235,33,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,2,1
"Judahella","Judahella","Arthropoda","Ostracoda","Podocopida","Cytheruridae",201.3,259.9,17,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,6,4,3
"Mockella","Mockella","Arthropoda","Ostracoda","Podocopida","Cytheruridae",221.5,235,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Movschovitschia","Movschovitschia","Arthropoda","Ostracoda","Podocopida","Cytheruridae",232,235,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
