"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Glomerula","Glomerula","Annelida","Polychaeta","Sabellida","Sabellidae",70.6,113,14,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,0,0,0
"Parsimonia","Parsimonia","Annelida","Polychaeta","Sabellida","Serpulidae",99.6,113,4,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",1,2,1,2
"Rotularia","Rotularia","Annelida","Polychaeta","Sabellida","Serpulidae",41.3,100.5,40,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,1,1,1
"Serpula","Serpula","Annelida","Polychaeta","Sabellida","Serpulidae",47.8,113,46,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,14,2,1
"Neomicrorbis","Neomicrorbis","Annelida","Polychaeta","Serpulimorpha","NO_FAMILY_SPECIFIED",89.3,99.6,4,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,0,0,0
"Pycnolepas","Pycnolepas","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Brachylepadidae",56,113,31,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,15,1,1
"Arcoscalpellum","Arcoscalpellum","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Scalpellidae",47.8,105.3,51,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,1,1,1
"Arcuatoscalpellum","Arcuatoscalpellum","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Scalpellidae",93.5,113,33,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,21,2,1
"Diotascalpellum","Diotascalpellum","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Scalpellidae",66,105.3,29,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,9,2,2
"Jaegerscalpellum","Jaegerscalpellum","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Scalpellidae",99.6,113,20,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,13,2,1
"Scalpellum","Scalpellum","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Scalpellidae",56,112.03,10,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,0,0,0
"Virgiscalpellum","Virgiscalpellum","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Scalpellidae",66,109,32,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,3,1,1
"Angulatergum","Angulatergum","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Stramentidae",93.5,109,11,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,9,3,1
"Leweslepas","Leweslepas","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Stramentidae",93.5,99.6,3,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,0,0,0
