"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Serpula","Serpula","Annelida","Polychaeta","Sabellida","Serpulidae",170.3,259.9,30,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,0,0,0
"Spirorbis","Spirorbis","Annelida","Polychaeta","Sabellida","Serpulidae",242,259.9,4,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,0,0,0
"Eryma","Eryma","Arthropoda","Malacostraca","Decapoda","Erymidae",180,254.17,11,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","little or no carbonate load",0,1,1,1
"Thaumatomma","Thaumatomma","Arthropoda","Ostracoda","Halocyprida","Thaumatocyprididae",242,259.9,13,"pelagic","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Birdsallella","Birdsallella","Arthropoda","Ostracoda","Metacopida","NO_FAMILY_SPECIFIED",252.17,254.17,4,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,4,1,1
"Triadocypris","Triadocypris","Arthropoda","Ostracoda","Myodocopida","Cylindroleberididae",247.2,259.9,2,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Cypridina","Cypridina","Arthropoda","Ostracoda","Myodocopida","Cypridinidae",201.3,265.1,4,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Discoidella","Discoidella","Arthropoda","Ostracoda","Myodocopida","Polycopidae",242,259.9,16,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,9,2,2
"Polycope","Polycope","Arthropoda","Ostracoda","Myodocopida","Polycopidae",174.1,259.9,164,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,7,3,2
"Cetollina","Cetollina","Arthropoda","Ostracoda","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",252.17,254.17,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Darwinula","Darwinula","Arthropoda","Ostracoda","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",252.3,259,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Eumiraculum","Eumiraculum","Arthropoda","Ostracoda","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",251.3,254.17,5,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,4,2,2
"Gerdalia","Gerdalia","Arthropoda","Ostracoda","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",251.2,259,4,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,2,1
"Paleodarwinula","Paleodarwinula","Arthropoda","Ostracoda","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",251.2,265.1,2,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Suchonellina","Suchonellina","Arthropoda","Ostracoda","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",252.3,265.1,3,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Amphissites","Amphissites","Arthropoda","Ostracoda","Palaeocopida","Amphissitidae",252.17,265.1,11,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,7,2,2
"Kegelites","Kegelites","Arthropoda","Ostracoda","Palaeocopida","Amphissitidae",252.17,254.17,5,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,5,1,1
"Neoamphissites","Neoamphissites","Arthropoda","Ostracoda","Palaeocopida","Amphissitidae",252.17,259.9,7,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,5,1,1
"Parahollinella","Parahollinella","Arthropoda","Ostracoda","Palaeocopida","Amphissitidae",252.17,259.9,21,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,9,3,3
"Permokegelites","Permokegelites","Arthropoda","Ostracoda","Palaeocopida","Amphissitidae",252.17,259.9,4,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,3,1,1
"Cyathus","Cyathus","Arthropoda","Ostracoda","Palaeocopida","Aparchitidae",252.17,265.1,98,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,82,3,2
"Libumella","Libumella","Arthropoda","Ostracoda","Palaeocopida","Aparchitidae",252.17,254.17,2,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,1,1
"Neoulrichia","Neoulrichia","Arthropoda","Ostracoda","Palaeocopida","Beyrichiidae",252.17,254.17,3,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,3,2,2
"Kellettina","Kellettina","Arthropoda","Ostracoda","Palaeocopida","Kellettinidae",252.17,259.9,2,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Semipetasus","Semipetasus","Arthropoda","Ostracoda","Palaeocopida","Kellettinidae",252.17,254.17,3,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,3,1,1
"Aurikirkbya","Aurikirkbya","Arthropoda","Ostracoda","Palaeocopida","Kirkbyidae",252.17,265.1,16,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,10,2,2
"Carinaknightina","Carinaknightina","Arthropoda","Ostracoda","Palaeocopida","Kirkbyidae",251.3,259.9,19,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,3,2,2
"Kirkbya","Kirkbya","Arthropoda","Ostracoda","Palaeocopida","Kirkbyidae",252.17,265.1,22,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,1,1
"Knightina","Knightina","Arthropoda","Ostracoda","Palaeocopida","Kirkbyidae",252.17,259.9,24,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,21,3,4
"Reviya","Reviya","Arthropoda","Ostracoda","Palaeocopida","Kirkbyidae",251.2,265.1,34,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,7,1,2
"Scutikirkbya","Scutikirkbya","Arthropoda","Ostracoda","Palaeocopida","Kirkbyidae",252.17,254.17,4,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,4,1,1
"Shleesha","Shleesha","Arthropoda","Ostracoda","Palaeocopida","Kirkbyidae",252.17,254.17,7,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,7,2,1
"Tubulikirkbya","Tubulikirkbya","Arthropoda","Ostracoda","Palaeocopida","Kirkbyidae",252.17,254.17,5,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,5,1,1
