"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Carpathiella","Carpathiella","Annelida","Polychaeta","Sabellida","Serpulidae",56,66,6,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,0,0,0
"Pyrgopolon","Pyrgopolon","Annelida","Polychaeta","Sabellida","Serpulidae",61.6,93.5,6,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",1,1,1,1
"Rotularia","Rotularia","Annelida","Polychaeta","Sabellida","Serpulidae",41.3,100.5,40,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,1,1,1
"Serpula","Serpula","Annelida","Polychaeta","Sabellida","Serpulidae",47.8,113,46,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,1,1,1
"Hamulus","Hamulus","Annelida","Polychaeta","Serpulimorpha","NO_FAMILY_SPECIFIED",61.6,83.6,255,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",1,1,1,1
"Pycnolepas","Pycnolepas","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Brachylepadidae",56,113,31,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,1,1,1
"Scillaelepas","Scillaelepas","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Calanticidae",53,86.3,12,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,0,0,0
"Arcoscalpellum","Arcoscalpellum","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Scalpellidae",47.8,105.3,51,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,1,1,1
"Scalpellum","Scalpellum","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Scalpellidae",56,112.03,10,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,0,0,0
"Zeugmatolepas","Zeugmatolepas","Arthropoda","Hexanauplia","Scalpelliformes","Zeugmatolepadidae",61.6,105.3,18,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,1,1,1
"Verruca","Verruca","Arthropoda","Hexanauplia","Sessilia","Verrucidae",47.8,86.3,8,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,0,0,0
"Eriosachila","Eriosachila","Arthropoda","Malacostraca","Decapoda","Aethridae",23.03,66,7,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Levicyclus","Levicyclus","Arthropoda","Malacostraca","Decapoda","Atelecyclidae",23.03,66,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Axiopsis","Axiopsis","Arthropoda","Malacostraca","Decapoda","Axiidae",41.3,105.3,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Calappa","Calappa","Arthropoda","Malacostraca","Decapoda","Calappidae",23.03,66,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Calappilia","Calappilia","Arthropoda","Malacostraca","Decapoda","Calappidae",23.03,66,27,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Callianassa","Callianassa","Arthropoda","Malacostraca","Decapoda","Callianassidae",23.03,113,69,"shallow infaunal","fast, motile","miner","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,4,3,3
"Mesostylus","Mesostylus","Arthropoda","Malacostraca","Decapoda","Callianassidae",61.7,100.5,28,"shallow infaunal","fast, motile","miner","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Neocallichirus","Neocallichirus","Arthropoda","Malacostraca","Decapoda","Callianassidae",33.9,100.5,12,"shallow infaunal","fast, motile","miner","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Protocallianassa","Protocallianassa","Arthropoda","Malacostraca","Decapoda","Callianassidae",41.3,93.5,14,"shallow infaunal","fast, motile","miner","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Camarocarcinus","Camarocarcinus","Arthropoda","Malacostraca","Decapoda","Camarocarcinidae",59.2,66,5,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,4,2,2
"Cancer","Cancer","Arthropoda","Malacostraca","Decapoda","Cancridae",23.03,100.5,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Nicoliscarcinus","Nicoliscarcinus","Arthropoda","Malacostraca","Decapoda","Cancridae",23.03,66,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Orthakrolophos","Orthakrolophos","Arthropoda","Malacostraca","Decapoda","Chasmocarcinidae",23.03,66,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Montezumella","Montezumella","Arthropoda","Malacostraca","Decapoda","Cheriagonidae",23.03,66,12,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Eumunida","Eumunida","Arthropoda","Malacostraca","Decapoda","Chirostylidae",23.03,66,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Ctenocheles","Ctenocheles","Arthropoda","Malacostraca","Decapoda","Ctenochelidae",33.9,70.6,17,"deep infaunal","fast, motile","suspension","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Cymonomus","Cymonomus","Arthropoda","Malacostraca","Decapoda","Cymonomidae",23.03,66,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Daira","Daira","Arthropoda","Malacostraca","Decapoda","Dairidae",23.03,66,14,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Dardanus","Dardanus","Arthropoda","Malacostraca","Decapoda","Diogenidae",23.03,66,11,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Diogenes","Diogenes","Arthropoda","Malacostraca","Decapoda","Diogenidae",23.03,66,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Paguristes","Paguristes","Arthropoda","Malacostraca","Decapoda","Diogenidae",23.03,100.5,25,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,2,2,2
"Petrochirus","Petrochirus","Arthropoda","Malacostraca","Decapoda","Diogenidae",33.9,100.5,8,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
