"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Serpula","Serpula","Annelida","Polychaeta","Sabellida","Serpulidae",170.3,259.9,30,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,0,0,0
"Spirorbis","Spirorbis","Annelida","Polychaeta","Sabellida","Serpulidae",242,259.9,4,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,1,1,1
"Eryma","Eryma","Arthropoda","Malacostraca","Decapoda","Erymidae",180,254.17,11,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","little or no carbonate load",0,0,0,0
"Litogaster","Litogaster","Arthropoda","Malacostraca","Decapoda","Litogastroidae",242,251.3,2,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Ifasya","Ifasya","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",247.2,252.17,8,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Ambilobeia","Ambilobeia","Arthropoda","Malacostraca","Decapoda","Penaeidae",247.2,251.3,1,"epifaunal","fast, motile","surface deposit","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Thaumatomma","Thaumatomma","Arthropoda","Ostracoda","Halocyprida","Thaumatocyprididae",242,259.9,13,"pelagic","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Triadocypris","Triadocypris","Arthropoda","Ostracoda","Myodocopida","Cylindroleberididae",247.2,259.9,2,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Cypridina","Cypridina","Arthropoda","Ostracoda","Myodocopida","Cypridinidae",201.3,265.1,4,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Discoidella","Discoidella","Arthropoda","Ostracoda","Myodocopida","Polycopidae",242,259.9,16,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
