"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Glomerula","Glomerula","Annelida","Polychaeta","Sabellida","Sabellidae",70.6,113,14,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",1,1,1,1
"Diploconcha","Diploconcha","Annelida","Polychaeta","Sabellida","Serpulidae",66,83.6,17,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",1,10,1,2
"Filograna","Filograna","Annelida","Polychaeta","Sabellida","Serpulidae",70.6,83.5,1,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",1,1,1,1
"Pyrgopolon","Pyrgopolon","Annelida","Polychaeta","Sabellida","Serpulidae",61.6,93.5,6,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,4,3,3
"Rotularia","Rotularia","Annelida","Polychaeta","Sabellida","Serpulidae",41.3,100.5,40,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,17,5,2
"Serpula","Serpula","Annelida","Polychaeta","Sabellida","Serpulidae",47.8,100.5,43,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,11,6,5
"Filogranula","Filogranula","Annelida","Polychaeta","Serpulimorpha","NO_FAMILY_SPECIFIED",70.6,83.5,6,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",1,6,1,2
"Hamulus","Hamulus","Annelida","Polychaeta","Serpulimorpha","NO_FAMILY_SPECIFIED",61.6,83.6,258,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,236,7,2
"Longitubus","Longitubus","Annelida","Polychaeta","Serpulimorpha","NO_FAMILY_SPECIFIED",66,83.5,4,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",1,4,1,1
"Brachylepas","Brachylepas","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Brachylepadidae",66,83.5,64,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,64,5,5
"Pycnolepas","Pycnolepas","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Brachylepadidae",56,113,31,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,2,2,2
"Scillaelepas","Scillaelepas","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Calanticidae",53,86.3,12,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,3,1,1
"Arcoscalpellum","Arcoscalpellum","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Scalpellidae",47.8,105.3,51,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,48,6,5
