"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Barbafera","Barbafera","Annelida","Polychaeta","Sabellida","Serpulidae",221.5,242,13,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",1,1,1,1
"Filograna","Filograna","Annelida","Polychaeta","Sabellida","Serpulidae",215.56,247.2,2,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",1,1,1,1
"Serpula","Serpula","Annelida","Polychaeta","Sabellida","Serpulidae",170.3,259.9,30,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,0,0,0
"Terebella","Terebella","Annelida","Polychaeta","Terebellomorpha","NO_FAMILY_SPECIFIED",189.6,242,5,"shallow infaunal","facultative, unattached","surface deposit","hemocyanin","broadcaster","soft-bodied","little or no carbonate load",0,0,0,0
"Acanthochirana","Acanthochirana","Arthropoda","Malacostraca","Decapoda","Aegeridae",212,215.56,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,2,1,1
"Aeger","Aeger","Arthropoda","Malacostraca","Decapoda","Aegeridae",174.1,247.2,10,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Clytiella","Clytiella","Arthropoda","Malacostraca","Decapoda","Clytiopsidae",212,215.56,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Paraclytiopsis","Paraclytiopsis","Arthropoda","Malacostraca","Decapoda","Clytiopsidae",221.5,232,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Coleia","Coleia","Arthropoda","Malacostraca","Decapoda","Coleiidae",182.7,235,5,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Pseudocoleia","Pseudocoleia","Arthropoda","Malacostraca","Decapoda","Coleiidae",201.3,237,3,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Eryma","Eryma","Arthropoda","Malacostraca","Decapoda","Erymidae",180,254.17,11,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","little or no carbonate load",0,0,0,0
"Rosenfeldia","Rosenfeldia","Arthropoda","Malacostraca","Decapoda","Eryonidae",201.3,237,3,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,2,1,1
"Glyphea","Glyphea","Arthropoda","Malacostraca","Decapoda","Glypheidae",174.1,237,8,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Pseudoglyphea","Pseudoglyphea","Arthropoda","Malacostraca","Decapoda","Litogastroidae",174.1,247.2,21,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Acanthinopus","Acanthinopus","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",201.3,237,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Dusa","Dusa","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",201.3,237,7,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,5,2,1
"Longichela","Longichela","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",201.3,228,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Palaxius","Palaxius","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",208.5,228,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,2,2,2
"Parafavreina","Parafavreina","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",208.5,228,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Pinnacaris","Pinnacaris","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",201.3,228,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Rioarribia","Rioarribia","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",212,221.5,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Satyrocaris","Satyrocaris","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",201.3,228,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Archaeopalinurus","Archaeopalinurus","Arthropoda","Malacostraca","Decapoda","Palinuridae",174.1,237,6,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,3,1,1
"Antrimpos","Antrimpos","Arthropoda","Malacostraca","Decapoda","Penaeidae",190.8,247.2,17,"epifaunal","fast, motile","surface deposit","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,6,2,1
"Glaessnericaris","Glaessnericaris","Arthropoda","Malacostraca","Decapoda","Platychelidae",201.3,228,1,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Platykotta","Platykotta","Arthropoda","Malacostraca","Decapoda","Platykottidae",201.3,212,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Cypridina","Cypridina","Arthropoda","Ostracoda","Myodocopida","Cypridinidae",201.3,265.1,4,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Polycope","Polycope","Arthropoda","Ostracoda","Myodocopida","Polycopidae",174.1,259.9,164,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Bektasia","Bektasia","Arthropoda","Ostracoda","Platycopida","Cavellinidae",221.5,251.3,8,"semi-infaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Cavussurella","Cavussurella","Arthropoda","Ostracoda","Platycopida","Cavellinidae",205.6,247.2,7,"semi-infaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,3,1,1
"Cytherella","Cytherella","Arthropoda","Ostracoda","Platycopida","Cytherellidae",174.1,235,81,"semi-infaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Anisobairdia","Anisobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",182.7,247.2,11,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Bairdia","Bairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",174.1,265.1,1000,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Bairdiacypris","Bairdiacypris","Arthropoda","Ostracoda","Podocopida","Bairdiidae",174.1,265.1,277,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Bairdiolites","Bairdiolites","Arthropoda","Ostracoda","Podocopida","Bairdiidae",201.3,254.17,13,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Ceratobairdia","Ceratobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",196.5,265.1,19,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Dicerobairdia","Dicerobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",201.3,235,5,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,2,1
"Fabalicypris","Fabalicypris","Arthropoda","Ostracoda","Podocopida","Bairdiidae",189.6,265.1,148,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Hiatobairdia","Hiatobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",201.3,232,5,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,3,1,1
"Isobythocypris","Isobythocypris","Arthropoda","Ostracoda","Podocopida","Bairdiidae",180,235,63,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Lobobairdia","Lobobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",182.7,254.17,67,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Mirabairdia","Mirabairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",221.5,254.17,27,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Nodobairdia","Nodobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",201.3,237,6,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Ogmoconcha","Ogmoconcha","Arthropoda","Ostracoda","Podocopida","Healdiidae",174.1,242,98,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,10,4,1
"Ptychobairdia","Ptychobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",180,252.17,50,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Pustulobairdia","Pustulobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",196.5,254.17,10,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Urobairdia","Urobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",201.3,251.3,31,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Kerocythere","Kerocythere","Arthropoda","Ostracoda","Podocopida","Cytheruridae",201.3,247.2,18,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,2,1
"Rhombocythere","Rhombocythere","Arthropoda","Ostracoda","Podocopida","Brachycytheridae",205.6,212,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Bythocypris","Bythocypris","Arthropoda","Ostracoda","Podocopida","Bythocyprididae",175.6,254.17,12,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Covracythere","Covracythere","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",205.6,252.17,4,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Monoceratina","Monoceratina","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",174.1,259.9,77,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Patellacythere","Patellacythere","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",182.7,251.3,21,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Striatojonesia","Striatojonesia","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",181,235,4,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Triceratina","Triceratina","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",201.3,247.2,6,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Paracypris","Paracypris","Arthropoda","Ostracoda","Podocopida","Candonidae",180,254.17,61,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Eucytherura","Eucytherura","Arthropoda","Ostracoda","Podocopida","Cytheruridae",174.1,235,33,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Judahella","Judahella","Arthropoda","Ostracoda","Podocopida","Cytheruridae",201.3,259.9,17,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Mockella","Mockella","Arthropoda","Ostracoda","Podocopida","Cytheruridae",221.5,235,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Procytherura","Procytherura","Arthropoda","Ostracoda","Podocopida","Cytheruridae",174.1,235,11,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Hungarella","Hungarella","Arthropoda","Ostracoda","Podocopida","Healdiidae",189.6,252.17,26,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Simeonella","Simeonella","Arthropoda","Ostracoda","Podocopida","Limnocytheridae",221.5,247.2,16,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Leviella","Leviella","Arthropoda","Ostracoda","Podocopida","NO_FAMILY_SPECIFIED",201.3,237,7,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Renngartenella","Renngartenella","Arthropoda","Ostracoda","Podocopida","NO_FAMILY_SPECIFIED",221.5,251.3,18,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Pontocyprella","Pontocyprella","Arthropoda","Ostracoda","Podocopida","Pontocyprididae",182.7,235,25,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
