"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Melanoraphia","Melanoraphia","Annelida","Polychaeta","Phyllodocemorpha","NO_FAMILY_SPECIFIED",189.6,196.5,1,"semi-infaunal","facultative, attached","surface deposit","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",1,1,1,1
"Propomatoceros","Propomatoceros","Annelida","Polychaeta","Sabellida","Serpulidae",182.7,201.3,6,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",1,5,1,1
"Serpula","Serpula","Annelida","Polychaeta","Sabellida","Serpulidae",170.3,259.9,30,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,7,1,1
"Terebella","Terebella","Annelida","Polychaeta","Terebellomorpha","NO_FAMILY_SPECIFIED",189.6,242,5,"shallow infaunal","facultative, unattached","surface deposit","hemocyanin","broadcaster","soft-bodied","little or no carbonate load",1,1,1,1
"Aeger","Aeger","Arthropoda","Malacostraca","Decapoda","Aegeridae",174.1,247.2,10,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Callianassa","Callianassa","Arthropoda","Malacostraca","Decapoda","Callianassidae",180,182.7,1,"shallow infaunal","fast, motile","miner","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Coleia","Coleia","Arthropoda","Malacostraca","Decapoda","Coleiidae",174.1,235,6,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,3,2,2
"Proeryon","Proeryon","Arthropoda","Malacostraca","Decapoda","Coleiidae",174.1,201.3,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Eocarcinus","Eocarcinus","Arthropoda","Malacostraca","Decapoda","Eocarcinidae",182.7,189.6,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Eryma","Eryma","Arthropoda","Malacostraca","Decapoda","Erymidae",180,254.17,11,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","little or no carbonate load",0,1,1,1
"Palaeastacus","Palaeastacus","Arthropoda","Malacostraca","Decapoda","Erymidae",174.1,201.3,1,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Phlyctisoma","Phlyctisoma","Arthropoda","Malacostraca","Decapoda","Erymidae",174.1,201.3,1,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Eryon","Eryon","Arthropoda","Malacostraca","Decapoda","Eryonidae",174.1,201.3,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Glyphea","Glyphea","Arthropoda","Malacostraca","Decapoda","Glypheidae",174.1,237,8,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,2,2,2
"Glypheopsis","Glypheopsis","Arthropoda","Malacostraca","Decapoda","Glypheidae",175.6,189.6,1,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Trachysoma","Trachysoma","Arthropoda","Malacostraca","Decapoda","Glypheidae",182.7,201.3,3,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,2,2,1
"Pseudoglyphea","Pseudoglyphea","Arthropoda","Malacostraca","Decapoda","Litogastroidae",174.1,247.2,21,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,2,2,2
"Mecochirus","Mecochirus","Arthropoda","Malacostraca","Decapoda","Mecochiridae",174.1,201.3,2,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Praeatya","Praeatya","Arthropoda","Malacostraca","Decapoda","Mecochiridae",174.1,201.3,1,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Orhomalus","Orhomalus","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",175.6,189.6,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Archaeopalinurus","Archaeopalinurus","Arthropoda","Malacostraca","Decapoda","Palinuridae",174.1,237,6,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Palinurina","Palinurina","Arthropoda","Malacostraca","Decapoda","Palinuridae",189.6,201.3,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Cryptopagurus","Cryptopagurus","Arthropoda","Malacostraca","Decapoda","Schobertellidae",182.7,189.6,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Schobertella","Schobertella","Arthropoda","Malacostraca","Decapoda","Schobertellidae",182.7,201.3,13,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,12,1,1
