"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Glomerula","Glomerula","Annelida","Polychaeta","Sabellida","Sabellidae",70.6,113,14,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,2,1,1
"Dorsoserpula","Dorsoserpula","Annelida","Polychaeta","Sabellida","Serpulidae",89.3,93.5,1,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,0,0,0
"Pyrgopolon","Pyrgopolon","Annelida","Polychaeta","Sabellida","Serpulidae",61.6,93.5,6,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,0,0,0
"Rotularia","Rotularia","Annelida","Polychaeta","Sabellida","Serpulidae",41.3,100.5,40,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,0,0,0
"Serpula","Serpula","Annelida","Polychaeta","Sabellida","Serpulidae",47.8,100.5,43,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,15,4,2
"Neomicrorbis","Neomicrorbis","Annelida","Polychaeta","Serpulimorpha","NO_FAMILY_SPECIFIED",89.3,99.6,4,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,1,1,1
"Neovermilia","Neovermilia","Annelida","Polychaeta","Serpulimorpha","NO_FAMILY_SPECIFIED",89.3,93.5,1,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,0,0,0
"Pycnolepas","Pycnolepas","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Brachylepadidae",56,113,31,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,1,1,1
"Arcoscalpellum","Arcoscalpellum","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Scalpellidae",47.8,105.3,51,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,0,0,0
"Arcuatoscalpellum","Arcuatoscalpellum","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Scalpellidae",93.5,113,33,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,2,2,2
"Diotascalpellum","Diotascalpellum","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Scalpellidae",66,105.3,29,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,0,0,0
"Regioscalpellum","Regioscalpellum","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Scalpellidae",66,93.5,13,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,0,0,0
"Scalpellum","Scalpellum","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Scalpellidae",56,112.03,10,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,5,3,1
"Virgiscalpellum","Virgiscalpellum","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Scalpellidae",66,109,32,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,0,0,0
"Angulatergum","Angulatergum","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Stramentidae",93.5,109,11,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,1,1,1
"Leweslepas","Leweslepas","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Stramentidae",93.5,99.6,3,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,3,3,1
"Loriculina","Loriculina","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Stramentidae",70.6,105.3,9,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,0,0,0
"Parastramentum","Parastramentum","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Stramentidae",70.6,93.5,6,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,0,0,0
"Stramentum","Stramentum","Arthropoda","Hexanauplia","NO_ORDER_SPECIFIED","Stramentidae",70.6,99.6,40,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,6,2,3
"Cretiscalpellum","Cretiscalpellum","Arthropoda","Hexanauplia","Scalpelliformes","Cretiscalpellidae",66,113,102,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,0,0,0
"Jagtscalpellum","Jagtscalpellum","Arthropoda","Hexanauplia","Scalpelliformes","Cretiscalpellidae",93.5,99.6,1,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,1,1,1
"Pollicipes","Pollicipes","Arthropoda","Hexanauplia","Scalpelliformes","Pollicipedidae",70.6,109,18,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,0,0,0
"Ivoelepas","Ivoelepas","Arthropoda","Hexanauplia","Scalpelliformes","Titanolepadidae",70.6,105.3,3,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,0,0,0
"Titanolepas","Titanolepas","Arthropoda","Hexanauplia","Scalpelliformes","Titanolepadidae",70.6,99.6,3,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,1,1,1
"Zeugmatolepas","Zeugmatolepas","Arthropoda","Hexanauplia","Scalpelliformes","Zeugmatolepadidae",61.6,105.3,18,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,1,1,1
"Acanthochirana","Acanthochirana","Arthropoda","Malacostraca","Decapoda","Aegeridae",93.5,99.6,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,2,1,1
"Aeger","Aeger","Arthropoda","Malacostraca","Decapoda","Aegeridae",93.5,113,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Archaeochiapasa","Archaeochiapasa","Arthropoda","Malacostraca","Decapoda","Archaeochiapasidae",93.5,99.6,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Axiopsis","Axiopsis","Arthropoda","Malacostraca","Decapoda","Axiidae",41.3,105.3,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Wilmingtonia","Wilmingtonia","Arthropoda","Malacostraca","Decapoda","Bucculentidae",93.5,100.5,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Callianassa","Callianassa","Arthropoda","Malacostraca","Decapoda","Callianassidae",23.03,113,66,"shallow infaunal","fast, motile","miner","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Mesostylus","Mesostylus","Arthropoda","Malacostraca","Decapoda","Callianassidae",61.7,100.5,23,"shallow infaunal","fast, motile","miner","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Neocallichirus","Neocallichirus","Arthropoda","Malacostraca","Decapoda","Callianassidae",37.2,100.5,10,"shallow infaunal","fast, motile","miner","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Protocallianassa","Protocallianassa","Arthropoda","Malacostraca","Decapoda","Callianassidae",41.3,93.5,13,"shallow infaunal","fast, motile","miner","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Cancer","Cancer","Arthropoda","Malacostraca","Decapoda","Cancridae",23.03,100.5,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Cancrinos","Cancrinos","Arthropoda","Malacostraca","Decapoda","Cancrinidae",66,100.5,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Carcineretes","Carcineretes","Arthropoda","Malacostraca","Decapoda","Carcineretidae",66,100.5,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Carpopenaeus","Carpopenaeus","Arthropoda","Malacostraca","Decapoda","Carpopenaeidae",93.5,99.6,5,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,5,3,1
"Cenomanocarcinus","Cenomanocarcinus","Arthropoda","Malacostraca","Decapoda","Cenomanocarcinidae",66,109,20,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,2,1,2
