"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Serpula","Serpula","Annelida","Polychaeta","Sabellida","Serpulidae",170.3,259.9,30,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,2,1,1
"Spirorbis","Spirorbis","Annelida","Polychaeta","Sabellida","Serpulidae",242,259.9,4,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,2,2,2
"Rhabdouraea","Rhabdouraea","Arthropoda","Malacostraca","Leptostraca","Rhabdouraeidae",254.17,259.9,1,"pelagic","fast, motile","suspension","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Fujianocaris","Fujianocaris","Arthropoda","Malacostraca","Mysida","Tylocarididae",254.17,265.1,3,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Ophthalmapseudes","Ophthalmapseudes","Arthropoda","Malacostraca","Tanaidacea","Anthracocarididae",254.17,259.9,1,"epifaunal","fast, motile","surface deposit","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Thaumatomma","Thaumatomma","Arthropoda","Ostracoda","Halocyprida","Thaumatocyprididae",242,259.9,13,"pelagic","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,11,8,1
"Eocypridina","Eocypridina","Arthropoda","Ostracoda","Myodocopida","Cylindroleberididae",254.17,259.9,1,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Siveterella","Siveterella","Arthropoda","Ostracoda","Myodocopida","Cylindroleberididae",254.17,259.9,3,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,3,2,1
"Triadocypris","Triadocypris","Arthropoda","Ostracoda","Myodocopida","Cylindroleberididae",247.2,259.9,2,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Cypridinelliforma","Cypridinelliforma","Arthropoda","Ostracoda","Myodocopida","Cypridinelliformidae",254.17,259.9,2,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,1,1
"Cypridina","Cypridina","Arthropoda","Ostracoda","Myodocopida","Cypridinidae",201.3,265.1,4,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Nodophilomedes","Nodophilomedes","Arthropoda","Ostracoda","Myodocopida","Nodophilomedidae",254.17,259.9,1,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Nodopolycope","Nodopolycope","Arthropoda","Ostracoda","Myodocopida","Nodopolycopidae",254.17,259.9,2,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,1,1
"Permopolycope","Permopolycope","Arthropoda","Ostracoda","Myodocopida","Permopolycopidae",254.17,259.9,2,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,2,1
"Philomedes","Philomedes","Arthropoda","Ostracoda","Myodocopida","Philomedidae",254.17,259.9,1,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Discoidella","Discoidella","Arthropoda","Ostracoda","Myodocopida","Polycopidae",242,259.9,16,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Polycope","Polycope","Arthropoda","Ostracoda","Myodocopida","Polycopidae",174.1,259.9,164,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,15,3,3
"Swainella","Swainella","Arthropoda","Ostracoda","Myodocopida","Swainellidae",254.17,259.9,1,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Darwinula","Darwinula","Arthropoda","Ostracoda","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",252.3,259,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Gerdalia","Gerdalia","Arthropoda","Ostracoda","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",251.2,259,4,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Paleodarwinula","Paleodarwinula","Arthropoda","Ostracoda","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",251.2,265.1,2,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Suchonellina","Suchonellina","Arthropoda","Ostracoda","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",252.3,265.1,3,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Amphissites","Amphissites","Arthropoda","Ostracoda","Palaeocopida","Amphissitidae",252.17,265.1,11,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,3,3,3
"Buekkella","Buekkella","Arthropoda","Ostracoda","Palaeocopida","Amphissitidae",254.17,259.9,2,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,1,1
"Neoamphissites","Neoamphissites","Arthropoda","Ostracoda","Palaeocopida","Amphissitidae",252.17,259.9,7,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,1,1
"Parahollinella","Parahollinella","Arthropoda","Ostracoda","Palaeocopida","Amphissitidae",252.17,259.9,21,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,12,2,2
"Permokegelites","Permokegelites","Arthropoda","Ostracoda","Palaeocopida","Amphissitidae",252.17,259.9,4,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Cyathus","Cyathus","Arthropoda","Ostracoda","Palaeocopida","Aparchitidae",252.17,265.1,98,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,9,3,3
"Coronakirkbya","Coronakirkbya","Arthropoda","Ostracoda","Palaeocopida","Coronakirkbyidae",254.17,259.9,1,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Kellettina","Kellettina","Arthropoda","Ostracoda","Palaeocopida","Kellettinidae",252.17,259.9,2,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Kindlella","Kindlella","Arthropoda","Ostracoda","Palaeocopida","Kellettinidae",254.17,259.9,5,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,5,2,2
"Aurikirkbya","Aurikirkbya","Arthropoda","Ostracoda","Palaeocopida","Kirkbyidae",252.17,265.1,16,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,3,2,2
"Carinaknightina","Carinaknightina","Arthropoda","Ostracoda","Palaeocopida","Kirkbyidae",251.3,259.9,19,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,3,3,2
"Kirkbya","Kirkbya","Arthropoda","Ostracoda","Palaeocopida","Kirkbyidae",252.17,265.1,22,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,14,3,4
"Knightina","Knightina","Arthropoda","Ostracoda","Palaeocopida","Kirkbyidae",252.17,259.9,24,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,3,3,2
"Nodokirkbya","Nodokirkbya","Arthropoda","Ostracoda","Palaeocopida","Kirkbyidae",254.17,259.9,1,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Reviya","Reviya","Arthropoda","Ostracoda","Palaeocopida","Kirkbyidae",251.2,265.1,34,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Neofellerites","Neofellerites","Arthropoda","Ostracoda","Palaeocopida","NO_FAMILY_SPECIFIED",254.17,259.9,1,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Parvicyathus","Parvicyathus","Arthropoda","Ostracoda","Palaeocopida","NO_FAMILY_SPECIFIED",254.17,259.9,1,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Parvikirkbya","Parvikirkbya","Arthropoda","Ostracoda","Palaeocopida","Parvikirkbyiidae",254.17,259.9,10,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,10,4,2
"Nodoparaparchites","Nodoparaparchites","Arthropoda","Ostracoda","Palaeocopida","Pseudoparaparchitidae",254.17,259.9,1,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Roundyella","Roundyella","Arthropoda","Ostracoda","Palaeocopida","Scrobiculidae",252.17,265.1,31,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,17,3,4
"Tribolbina","Tribolbina","Arthropoda","Ostracoda","Palaeocopida","Tribolbinidae",254.17,259.9,2,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,1,1
"Cavellina","Cavellina","Arthropoda","Ostracoda","Platycopida","Cavellinidae",251.3,265.1,83,"semi-infaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,32,8,5
"Sulcella","Sulcella","Arthropoda","Ostracoda","Platycopida","Cavellinidae",252.17,265.1,9,"semi-infaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,5,2,3
"Hollinella","Hollinella","Arthropoda","Ostracoda","Platycopida","Hollinellidae",251.3,265.1,77,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,12,6,3
"Indivisia","Indivisia","Arthropoda","Ostracoda","Platycopida","Indivisiidae",252.17,259.9,9,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Geffenina","Geffenina","Arthropoda","Ostracoda","Platycopida","Knoxitidae",254.17,259.9,1,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Italogeisina","Italogeisina","Arthropoda","Ostracoda","Platycopida","Knoxitidae",254.17,259.9,1,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Kloedcytherella","Kloedcytherella","Arthropoda","Ostracoda","Platycopida","Knoxitidae",254.17,265.1,3,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,1,1
"Knoxiella","Knoxiella","Arthropoda","Ostracoda","Platycopida","Knoxitidae",251.3,265.1,36,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,4,3,1
"Pseudobeyrichiopsis","Pseudobeyrichiopsis","Arthropoda","Ostracoda","Platycopida","Knoxitidae",254.17,259.9,2,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,2,1
"Sargentina","Sargentina","Arthropoda","Ostracoda","Platycopida","Knoxitidae",252.17,259.9,16,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,2,1
"Miltonella","Miltonella","Arthropoda","Ostracoda","Platycopida","Miltonellidae",252.17,259.9,1,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Chamishaella","Chamishaella","Arthropoda","Ostracoda","Platycopida","Paraparchitidae",252.17,265.1,4,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,1,1
"Dentoparaparchites","Dentoparaparchites","Arthropoda","Ostracoda","Platycopida","Paraparchitidae",254.17,259.9,2,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,2,1
"Langdaia","Langdaia","Arthropoda","Ostracoda","Platycopida","Paraparchitidae",251.2,265.1,25,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Paraparchites","Paraparchites","Arthropoda","Ostracoda","Platycopida","Paraparchitidae",252.17,265.1,44,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Samarella","Samarella","Arthropoda","Ostracoda","Platycopida","Paraparchitidae",251.3,265.1,117,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,8,1,1
"Shishaella","Shishaella","Arthropoda","Ostracoda","Platycopida","Paraparchitidae",254.17,259.9,1,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Shivaella","Shivaella","Arthropoda","Ostracoda","Platycopida","Paraparchitidae",254.17,259.9,1,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
